Manufacturer ID,Manufacturer Name,Manufacturer Info,Manufacturer Phone Number,Manufacturer Address
480478,ManuCode001,Pioneers in all-weather tires,555-0200,Storage Facility 1 Street
545285,ManuCode002,Pioneers in all-weather tires,555-0201,Storage Facility 2 Street
676769,ManuCode003,Focus on eco-friendly materials,555-0202,Storage Facility 3 Street
454860,ManuCode004,Specializes in high-performance tires,555-0203,Storage Facility 4 Street
415239,ManuCode005,Renowned for racing tires,555-0204,Storage Facility 5 Street
335132,ManuCode006,Specializes in high-performance tires,555-0205,Storage Facility 6 Street
927005,ManuCode007,Renowned for racing tires,555-0206,Storage Facility 7 Street
206304,ManuCode008,Specializes in high-performance tires,555-0207,Storage Facility 8 Street
431883,ManuCode009,Pioneers in all-weather tires,555-0208,Storage Facility 9 Street
180777,ManuCode010,Leader in off-road tire technologies,555-0209,Storage Facility 10 Street
952736,ManuCode011,Leader in off-road tire technologies,555-0210,Storage Facility 11 Street
593651,ManuCode012,Focus on eco-friendly materials,555-0211,Storage Facility 12 Street
735775,ManuCode013,Renowned for racing tires,555-0212,Storage Facility 13 Street
825060,ManuCode014,Renowned for racing tires,555-0213,Storage Facility 14 Street
954412,ManuCode015,Renowned for racing tires,555-0214,Storage Facility 15 Street
562567,ManuCode016,Pioneers in all-weather tires,555-0215,Storage Facility 16 Street
958411,ManuCode017,Renowned for racing tires,555-0216,Storage Facility 17 Street
474017,ManuCode018,Leader in off-road tire technologies,555-0217,Storage Facility 18 Street
325259,ManuCode019,Pioneers in all-weather tires,555-0218,Storage Facility 19 Street
332747,ManuCode020,Specializes in high-performance tires,555-0219,Storage Facility 20 Street
